d,radius,mag(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(GainTotal): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(S(1 1)): Freq(2.4GHz),mag(PolarizationRatioCircularLHCP): Theta(-180deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,mag(PolarizationRatioCircularLHCP): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1
14.1,15.9,30.13269791,29.58076035,-0.994473655,-7.032140219,1.171981309,0.93575886
13.9,15.9,30.47014675,29.67749092,-1.349290286,-7.309934323,1.203305398,0.936447707
13.8,15.8,30.77517329,29.76401014,-1.165870883,-5.811509734,1.044487678,0.937057778
13.6,15.9,31.03869658,29.83806951,-1.347370712,-8.192265414,1.430033238,0.937575488
14.6,16,31.33009607,29.91923453,-1.157098509,-7.156484488,0.914396477,0.938138136
14.1,16,31.39739163,29.9378714,-1.206772096,-8.33554706,1.205446504,0.938266635
14.7,16.2,31.56359956,29.9837305,-1.071764014,-12.27169727,1.256331289,0.938581728
14.5,16,31.89266843,30.07381716,-1.093055334,-7.404642242,1.204807353,0.939196177
14.5,16.1,31.98083282,30.09779538,-1.122914674,-9.483952838,1.216344135,0.939358718
14,16,32.22936331,30.16503452,-1.20163276,-8.612072468,1.601448265,0.939812268
14,15.5,35.02806702,30.88832344,-1.734925953,-3.702816097,1.136071226,0.944487724
14.8,16.1,36.13845507,31.15939165,-1.369982171,-8.760788942,1.138248824,0.946147464
13.7,15.6,36.97548056,31.35827654,-1.565326772,-4.152910548,1.222678157,0.947334439
13.6,15.6,37.48034306,31.47607115,-1.654746704,-4.454358461,1.073012712,0.948025411
13.6,15.8,38.01706809,31.59957241,-1.141108355,-6.61117695,1.116314571,0.948740382
14.9,16.2,38.06404806,31.61029946,-1.31749111,-12.13111236,1.104976757,0.948802029
14.7,16,38.37238858,31.68037667,-1.094313819,-7.641709521,1.151571044,0.94920298
14.3,15.6,38.58318996,31.72796262,-1.388053739,-3.932697568,0.957466323,0.949473501
13.5,15.8,38.66855801,31.74715954,-1.306379051,-6.683844792,1.264387456,0.949582236
14.9,15.9,38.83648315,31.78479791,-1.331242742,-6.535357012,0.992430044,0.949794765
15,16,38.94121891,31.80819083,-1.216611418,-7.73621612,1.038195532,0.949926416
14.3,15.9,38.97936336,31.81669483,-1.190815271,-6.665934644,1.146424805,0.949974191
13.6,15.7,40.15556126,32.07491401,-1.648161509,-5.04638737,1.330011108,0.951403894
14.6,15.9,40.49821545,32.14871773,-1.364129992,-6.299500091,0.942710357,0.951805156
14,15.7,40.59334814,32.16909747,-1.298602025,-4.887071787,1.126574903,0.951915388
13.7,15.7,41.01919584,32.25974284,-1.355611265,-5.053605204,1.197297143,0.952402706
15,16.1,41.56995598,32.37559129,-0.937298945,-10.35906427,0.934426528,0.953018509
13.8,15.5,42.09311711,32.48422175,-1.718843273,-3.628114877,1.129635934,0.953588876
14.4,15.9,42.13918519,32.49372268,-1.391996171,-6.061192962,1.216112782,0.953638438
14.8,16,42.23183493,32.51279903,-1.123116732,-7.258749504,1.163704571,0.953737795
14.5,15.5,42.4923744,32.56621999,-1.55299145,-3.789654561,1.071917783,0.954014927
14.2,15.8,42.7038875,32.60934825,-1.195407975,-5.103265514,1.09913694,0.954237481
14.1,15.5,42.80596699,32.63008625,-1.495357385,-3.513640602,0.984126579,0.954344119
14.2,16,43.27941171,32.72562698,-1.223114316,-8.114237809,1.140916063,0.954832282
15,16.2,43.32549418,32.7348705,-1.21679868,-11.54197762,1.137850959,0.95487924
13.5,15.5,43.89840372,32.84897456,-1.669443016,-3.84447727,1.264991477,0.955454986
14.1,15.8,44.8005188,33.02566086,-1.517755533,-5.383934361,1.289762539,0.956332372
15,15.9,46.16844797,33.28690551,-1.290408856,-6.845401296,0.940202739,0.957598774
14,15.6,46.85835854,33.41574142,-1.596037747,-3.915996116,1.022712439,0.958210017
14.5,15.8,46.9276715,33.42858011,-1.44688746,-4.886000791,1.150800885,0.958270453
13.5,15.6,46.99138805,33.44036547,-1.588935624,-4.742932818,1.250760086,0.958325856
14.7,15.9,48.50205008,33.71520191,-1.506810815,-6.49498052,1.223588889,0.959597633
14,15.8,48.52037402,33.7184828,-1.296211266,-5.607019744,1.16032404,0.959612583
13.9,15.5,49.0485714,33.81252725,-1.545354795,-3.461673896,1.136057299,0.960038819
13.5,15.7,50.86908272,34.12907813,-1.504967923,-5.408755807,1.23885402,0.961441385
14.9,16,51.87098463,34.29848984,-1.088176023,-7.831896013,1.055902584,0.962172068
14.3,15.8,53.01629783,34.48818795,-1.438128778,-4.929664251,1.242715194,0.962974138
14.4,15.8,53.12576596,34.50610409,-1.277030357,-5.231238881,1.103171897,0.963049022
14.2,15.6,53.43128816,34.55591289,-1.489716298,-4.012741017,1.124787916,0.963256427
14.3,15.7,54.44385023,34.71897661,-1.348008358,-4.544916874,1.140833566,0.963927469
13.6,15.5,54.94647074,34.79879605,-1.361775508,-3.811495196,1.144267856,0.964251543
13.8,15.7,60.85390984,35.68576973,-1.748086644,-4.734786278,1.387525789,0.967665747
14.5,15.9,61.70424579,35.80630097,-0.886212859,-6.24780782,1.193440144,0.968104233
14.9,15.7,62.13563591,35.86681495,-1.481974012,-4.780011574,1.096896631,0.968322169
14.2,15.7,62.36774465,35.89920079,-1.633844656,-4.670129312,1.273552464,0.968438201
14.8,15.7,62.76721607,35.95465733,-1.264158011,-4.71688945,0.925923391,0.968635921
13.7,15.5,64.21757134,36.15307754,-1.961145491,-3.785411814,1.38778699,0.969333418
14.5,15.7,64.32978267,36.16824168,-1.51248514,-4.529891267,1.152466382,0.969386091
14.7,15.8,65.89213573,36.37667169,-1.505578935,-5.418867468,1.108362293,0.970101119
15,15.7,65.98129004,36.38841605,-1.334111656,-4.855261608,0.929630238,0.970140915
14.8,15.8,66.62604631,36.47288085,-1.231046489,-5.507019325,1.117393746,0.970425596
13.9,15.6,67.33057328,36.56424624,-1.565444604,-4.17468465,1.136044186,0.970730525
14.5,15.6,67.67323682,36.60833899,-1.541805952,-4.052979584,1.082438605,0.970876573
14.4,15.6,67.84503348,36.63036122,-1.484166308,-4.162443924,1.029754528,0.970949248
14.8,15.9,68.56328993,36.72183297,-1.340654256,-6.03217977,1.048556818,0.971249203
14.6,15.6,73.4910821,37.32469284,-1.279139512,-4.261035313,0.949705227,0.973151149
15,15.5,74.28266681,37.41774974,-1.615209542,-3.775656375,1.080704712,0.97343346
14.1,15.6,79.52568783,38.01014868,-1.302370631,-3.941752462,1.13306558,0.975163205
14.7,15.6,81.42466026,38.2151191,-1.17024985,-4.365083152,0.994903598,0.975735417
14.6,15.5,81.47830177,38.22083937,-1.403821426,-3.891061075,1.014275003,0.975751198
14.7,15.5,98.58086679,39.87585265,-1.769339254,-3.873210628,0.963955114,0.979915821
14.4,15.7,99.54121395,39.96005866,-1.479230692,-4.243705849,1.156133521,0.98010766
13.8,15.6,107.4326697,40.62272736,-1.582444011,-4.156532895,1.261992592,0.981555374
14.8,15.5,122.2480172,41.74483648,-1.469944809,-3.777823285,0.967494203,0.983772558
14.4,15.5,124.1348019,41.87787111,-1.441923966,-3.600190492,1.153491504,0.984017236
14.2,15.5,150.8529447,43.57107585,-1.366007021,-3.653472677,1.114097552,0.986829363
14.9,15.5,156.2280313,43.8751792,-1.323481556,-3.851803587,0.932621978,0.987279622
14.6,15.7,186.2003616,45.3996104,-1.424973478,-4.751124349,1.228412519,0.98931626
14.1,15.7,202.9655661,46.14844729,-1.528007644,-4.780316952,1.376012837,0.990194423
14.8,15.6,250.4753776,47.9753008,-1.493853196,-4.242150045,1.029283898,0.992046935
14.3,15.5,296.3331099,49.43560358,-1.540684928,-3.550653038,1.02651006,0.993273538
14.9,15.6,343.1294089,50.70915884,-1.250582979,-4.527084278,1.064839104,1.005845741
14.7,15.7,429.9652396,52.66866693,-1.20052659,-4.544175649,1.158979423,0.995359254
15,15.6,703.7643795,56.94854563,-1.397048394,-4.274177853,1.1566721,1.002845904
14.6,15.8,763.4056591,57.6551075,-1.277510403,-5.433669903,1.192723906,0.997383588
15,15.8,814.9342805,58.22245174,-1.369668661,-5.458510384,1.084932124,1.002457201
14.9,15.8,1053.430569,60.45211834,-1.315969693,-5.520994526,1.156558718,1.001900363
